sessionNaturalKey,sessionKey,requestedDateKey,requestedTimeKey,startDateKey,startTimeKey,endDateKey,endTimeKey,tutorKey,studentKey,courseKey,type,status,didAttend,cancellationReason,topic,professor,location,duration
5d77bca7c8e3f3173cada8d2,1,20190910,1509,20190912,900,20190912,1000,13,126,434,private,attended,TRUE,,Exponential and logarithm functions ,,,60
5d77f897c8e3f3173cada98e,2,20190910,1925,20190911,800,20190911,900,4,151,172,private,attended,TRUE,,structures,,,60
5d7808bbc8e3f3173cada9ed,3,20190910,2034,20190911,1410,20190911,1510,7,92,172,private,attended,TRUE,,Structures and Files,,,60
5d781d8dc8e3f3173cadaa4e,4,20190910,2202,20190913,1500,20190913,1600,7,72,440,private,canceled,FALSE,,Limits and their properties,,,60
5d781f9cc8e3f3173cadaa55,5,20190910,2211,20190912,1300,20190912,1400,13,209,320,private,attended,TRUE,,Reminder of Business stats for Quanti,,,60
5d78d14ac8e3f3173cadab2c,6,20190911,1049,20190912,1700,20190912,1800,5,72,440,private,attended,TRUE,,Limits and their properties,,,60
5d78fceec8e3f3173cadab73,7,20190911,1355,20190911,1700,20190911,1800,16,210,,private group,attended,TRUE,,Focused Campus Tour,,,60
5d7901d5c8e3f3173cadab80,8,20190911,1416,20190913,1300,20190913,1400,55,167,204,private group,attended,TRUE,,Chapter 1,,,60
5d7901f7c8e3f3173cadab82,9,20190911,1417,20190912,900,20190912,1000,47,231,1,private,canceled,FALSE,,first chapter,,,60
5d790cb9c8e3f3173cadaba5,10,20190911,1503,20190913,1600,20190913,1800,9,202,,private group,canceled,FALSE,,academic and career guidance,,,120
5d790eb3c8e3f3173cadaba8,11,20190911,1511,20190913,1300,20190913,1400,7,170,440,private,attended,TRUE,,Calculus formulating,,,60
5d7916d8c8e3f3173cadabc0,12,20190911,1546,20190913,1000,20190913,1100,7,234,172,private,attended,TRUE,,structures ,,,60
5d791aa9c8e3f3173cadabcd,13,20190911,1602,20190912,900,20190912,1000,18,213,165,private,attended,TRUE,,steps toward building a software: Algorithm and Raptol ,,,60
5d791e05c8e3f3173cadabe9,14,20190911,1617,20190912,1700,20190912,1800,50,127,440,private,attended,TRUE,,Chapter 1,,,60
5d7920c2c8e3f3173cadabee,15,20190911,1628,20190913,1700,20190913,1800,52,213,440,private,attended,TRUE,,Differentiation ,,,60
5d792767c8e3f3173cadac13,16,20190911,1657,20190913,1400,20190913,1500,54,239,208,private,attended,TRUE,,Intro to eco growth,,,60
5d7927e2c8e3f3173cadac14,17,20190911,1659,20190913,1000,20190913,1100,2,239,6,private,attended,TRUE,,Statement of cash flows,,,60
5d7929bac8e3f3173cadac18,18,20190911,1707,20190914,1300,20190914,1400,7,241,440,private,attended,TRUE,,Limits and their properties,,,60
5d792bd4c8e3f3173cadac21,19,20190911,1716,20190914,1000,20190914,1100,52,243,440,private,attended,TRUE,,Limits and their properties,,,60
5d79349cc8e3f3173cadac40,20,20190911,1753,20190911,1730,20190911,1830,57,247,,private group,attended,TRUE,,Campus tour,,,60
5d793edcc8e3f3173cadac67,21,20190911,1837,20190916,1600,20190916,1700,26,249,208,private group,canceled,FALSE,,chap 5 and 6 (GDP),,,60
5d7949c6c8e3f3173cadac72,22,20190911,1923,20190914,1400,20190914,1500,43,185,440,private,attended,TRUE,,Limits and Their Properties,,,60
5d794a48c8e3f3173cadac73,23,20190911,1926,20190914,1500,20190914,1600,7,185,165,private,attended,TRUE,,C language ,,,60
5d794b68c8e3f3173cadac74,24,20190911,1930,20190915,1400,20190915,1500,55,185,268,private,canceled,FALSE,,How to FAS ?,,,60
5d794ca0c8e3f3173cadac78,25,20190911,1936,20190913,1400,20190913,1500,26,249,208,private,attended,TRUE,,chap 5 and 6 (GDP),,,60
5d79518ac8e3f3173cadac79,26,20190911,1956,20190912,1300,20190912,1400,43,54,467,private,attended,TRUE,,"Vectors ,average speed..",,,60
5d797665de1d4c0f50e54307,27,20190911,2234,20190913,1400,20190913,1500,4,260,174,private,attended,TRUE,,CSC cards,,,60
5d79778dde1d4c0f50e54308,28,20190911,2239,20190913,1600,20190913,1700,13,227,,private,attended,TRUE,,The system unit and file types,,,60
5d7a0585de1d4c0f50e5431a,29,20190912,844,20190913,800,20190913,900,47,165,440,private,attended,TRUE,,The intermediate value theorem ,,,60
5d7a0728de1d4c0f50e5431b,30,20190912,851,20190914,800,20190914,900,47,165,440,private,attended,TRUE,,The derivative and the tangent line problem ,,,60
5d7a08e7de1d4c0f50e5431c,31,20190912,859,20190915,1000,20190915,1100,50,165,440,private,attended,TRUE,,Differentiation rules and rates of change,,,60
5d7a1787de1d4c0f50e5433a,32,20190912,1001,20190916,1700,20190916,1800,54,95,434,private group,attended,TRUE,,logarithme,,,60
5d7a1a34de1d4c0f50e5433b,33,20190912,1013,20190912,1500,20190912,1600,16,207,,private group,attended,TRUE,,Focused Campus Tour + Misc,,,60
5d7a1c7ade1d4c0f50e54345,34,20190912,1022,20190912,1000,20190912,1100,41,264,,private,attended,TRUE,,Detailed campus tour,,,60
5d7a1e13de1d4c0f50e5434d,35,20190912,1029,20190913,1300,20190913,1400,13,266,172,private,canceled,FALSE,,Hierarchies and void structure definition,,,60
5d7a20f4de1d4c0f50e5435c,36,20190912,1041,20190914,1100,20190914,1200,41,269,,private group,attended,TRUE,,Detailed campus tour,,,60
5d7a21e1de1d4c0f50e54360,37,20190912,1045,20190914,1200,20190914,1300,41,192,,private group,canceled,FALSE,,Camp tour,,,60
5d7a26e2de1d4c0f50e54371,38,20190912,1107,20190913,1500,20190913,1600,13,266,172,private,attended,TRUE,,Hiearchies and void structure defintions,,,60
5d7a29d5de1d4c0f50e54374,39,20190912,1119,20190912,1000,20190912,1100,27,234,444,private,attended,TRUE,,Calculus II: Chapter 6,,,60
5d7a2aa6de1d4c0f50e54378,40,20190912,1123,20190914,1600,20190914,1700,7,275,440,private,canceled,FALSE,,chapter 1,,,60
5d7a2de8de1d4c0f50e5437e,41,20190912,1137,20190912,1130,20190912,1230,20,229,1,private,attended,TRUE,,Chapter 1,,,60
5d7a3043de1d4c0f50e5437f,42,20190912,1147,20190913,1600,20190913,1700,2,261,208,private,attended,TRUE,,chapter 5 and 6 ,,,60
5d7a3cb4de1d4c0f50e543a5,43,20190912,1240,20190912,1230,20190912,1330,20,229,1,private,attended,TRUE,,Chapter1,,,60
5d7a40aade1d4c0f50e543ac,44,20190912,1257,20190911,1830,20190911,1900,57,247,,private group,attended,TRUE,,Campus tour,,,30
5d7a4844de1d4c0f50e543b3,45,20190912,1329,20190912,1730,20190912,1830,17,271,,private,attended,TRUE,,first meeting,,,60
5d7a4f0ede1d4c0f50e543b6,46,20190912,1358,20190915,1000,20190915,1100,41,263,,private group,attended,TRUE,,Campus tour,,,60
5d7a5e32de1d4c0f50e543d4,47,20190912,1503,20190912,1500,20190912,1600,57,284,,private group,attended,TRUE,,Campus tour,,,60
5d7a6e9cde1d4c0f50e5440b,48,20190912,1613,20190913,1100,20190913,1200,35,290,,private group,canceled,FALSE,,computer programming,,,60
5d7a7810de1d4c0f50e54425,49,20190912,1653,20190915,1400,20190915,1500,43,268,215,private,attended,TRUE,,The first two chapters ,,,60
5d7a86a7de1d4c0f50e54434,50,20190912,1755,20190913,1330,20190913,1430,17,257,,private,attended,TRUE,,Exchange,,,60
5d7a959ede1d4c0f50e54463,51,20190912,1859,20190915,1400,20190915,1500,2,302,208,private,attended,TRUE,,Macro,,,60
5d7a9fe3de1d4c0f50e54474,52,20190912,1943,20190913,1200,20190913,1300,15,54,216,private,attended,TRUE,,The first chapter,,,60
5d7aa351de1d4c0f50e54477,53,20190912,1958,20190913,1500,20190913,1600,41,308,,private,attended,TRUE,,Campus tour ,,,60
5d7addefde1d4c0f50e544b6,54,20190913,8,20190913,1400,20190913,1500,10,320,,private,canceled,FALSE,,Focused campus tour,,,60
5d7b373cde1d4c0f50e544b7,55,20190913,629,20190917,1000,20190917,1100,27,311,165,private,attended,TRUE,,flowcharts in programing,,,60
5d7b5db0de1d4c0f50e544bd,56,20190913,913,20190913,1800,20190913,1900,44,317,,private,attended,TRUE,,email format +advising services+ questions,,,60
5d7b6043de1d4c0f50e544bf,57,20190913,924,20190913,930,20190913,1030,9,32,,private,attended,TRUE,,Campus tour + kudos,,,60
5d7b619dde1d4c0f50e544c0,58,20190913,930,20190913,1200,20190913,1300,41,300,,private,attended,TRUE,,Focused campus tour,,,60
5d7b6661de1d4c0f50e544c1,59,20190913,950,20190913,1000,20190913,1100,14,126,,private group,attended,TRUE,,Focused campus tour,,,60
5d7b6b8fde1d4c0f50e544d5,60,20190913,1012,20190918,1000,20190918,1100,14,143,,private,attended,TRUE,,Kudos,,,60
5d7b6c03de1d4c0f50e544da,61,20190913,1014,20190917,1500,20190917,1600,14,126,,private,attended,TRUE,,Kudos,,,60
5d7b6c38de1d4c0f50e544db,62,20190913,1015,20190917,1600,20190917,1700,14,325,,private,attended,TRUE,,Kudos,,,60
5d7b6cf3de1d4c0f50e544dc,63,20190913,1018,20190920,1400,20190920,1500,14,327,,private,attended,TRUE,,Kudos,,,60
5d7b6d15de1d4c0f50e544dd,64,20190913,1019,20190916,1000,20190916,1100,2,78,1,private,attended,TRUE,,balance sheet and income statement ,,,60
5d7b6f66de1d4c0f50e544e7,65,20190913,1028,20190914,1200,20190914,1300,41,290,,private group,canceled,FALSE,,computer programming,,,60
5d7b75f9de1d4c0f50e544f5,66,20190913,1056,20190913,1500,20190913,1600,10,319,,private,attended,TRUE,,Focused campus tour,,,60
5d7b79abde1d4c0f50e544fc,67,20190913,1112,20190913,1000,20190913,1200,10,334,,private,confirmed,FALSE,,Jenzabar Workshop + Professors + printing etc,,,120
5d7b7b3ade1d4c0f50e54505,68,20190913,1119,20190913,1400,20190913,1500,10,175,,private,attended,TRUE,,Focused campus tour,,,60
5d7b7de7de1d4c0f50e54508,69,20190913,1130,20190914,1000,20190914,1100,7,72,165,private,attended,TRUE,,Raptor,,,60
5d7b826cde1d4c0f50e54511,70,20190913,1150,20190914,1200,20190914,1300,13,343,434,private,attended,TRUE,,Limits ,,,60
5d7b8444de1d4c0f50e54514,71,20190913,1157,20190919,1400,20190919,1500,30,342,,private,canceled,FALSE,,Kudos,,,60
5d7b85e8de1d4c0f50e54517,72,20190913,1204,20190913,1100,20190913,1200,16,345,,private,attended,TRUE,,Q/A + Problem solving,,,60
5d7b87d6de1d4c0f50e5451e,73,20190913,1213,20190913,1000,20190913,1100,67,339,,private,attended,TRUE,,"sources in the library, kudos and the french exam ",,,60
5d7b88adde1d4c0f50e54523,74,20190913,1216,20190913,700,20190913,830,67,53,,private,attended,TRUE,,"kudos, french TEF preparation and the campus tour.",,,90
5d7b8b22de1d4c0f50e54528,75,20190913,1227,20190913,1300,20190913,1400,57,350,,private group,attended,TRUE,,Campus Tour,,,60
5d7b9316de1d4c0f50e5452f,76,20190913,1301,20190913,1100,20190913,1300,10,334,,private,attended,TRUE,,Jenzabar Workshop+Professors+printing etc,,,120
5d7b9c2ede1d4c0f50e54559,77,20190913,1339,20190913,1200,20190913,1330,16,345,,private,attended,TRUE,,Focused Campus Tour,,,90
5d7b9c5dde1d4c0f50e5455a,78,20190913,1340,20190913,1400,20190913,1500,62,19,,private group,attended,TRUE,,Focused Campus Tour,,,60
5d7b9ccede1d4c0f50e5455d,79,20190913,1342,20190913,1500,20190913,1600,62,19,,private,attended,TRUE,,Focused Campus Tour,,,60
5d7b9cfbde1d4c0f50e54560,80,20190913,1343,20190913,1600,20190913,1700,62,19,,private group,attended,TRUE,,Focused Campus Tour,,,60
5d7b9d14de1d4c0f50e54562,81,20190913,1343,20190916,1800,20190916,1900,54,259,434,private,attended,TRUE,,Maths For Business (logarithmic equations -Chapter 4),,,60
5d7b9e07de1d4c0f50e54565,82,20190913,1347,20190913,1400,20190913,1500,16,212,,private group,attended,TRUE,,Focused Campus Tour,,,60
5d7b9e45de1d4c0f50e54568,83,20190913,1348,20190913,1500,20190913,1600,16,59,6,private group,canceled,FALSE,,Focused Campus Tour,,,60
5d7b9f63de1d4c0f50e5456a,84,20190913,1353,20190913,1400,20190913,1500,60,120,,private,attended,TRUE,,Campus Tour,,,60
5d7ba0f7de1d4c0f50e5456d,85,20190913,1400,20190913,1500,20190913,1600,10,320,,private group,attended,TRUE,,Focused campus tour,,,60
5d7ba1c6de1d4c0f50e54572,86,20190913,1403,20190913,1430,20190913,1530,9,352,,private,attended,TRUE,,Focused campus tour ,,,60
5d7ba260de1d4c0f50e54573,87,20190913,1406,20190913,1400,20190913,1500,17,370,,private,attended,TRUE,,campus tour,,,60
5d7ba7cbde1d4c0f50e5457b,88,20190913,1429,20190913,1500,20190913,1600,40,277,,private,attended,TRUE,,Campus/ School tour,,,60
5d7ba82cde1d4c0f50e54581,89,20190913,1431,20190913,1600,20190913,1700,40,351,,private,attended,TRUE,,Campus/ School tour,,,60
5d7ba88ade1d4c0f50e54583,90,20190913,1432,20190913,1700,20190913,1800,40,351,,private,attended,TRUE,,ItS accounts,,,60
5d7baac8de1d4c0f50e5458b,91,20190913,1442,20190916,1330,20190916,1430,54,239,208,private,attended,TRUE,,Intro to eco growth,,,60
5d7baeacde1d4c0f50e54592,92,20190913,1458,20190913,1500,20190913,1600,57,19,,private group,attended,TRUE,,Campus tour,,,60
5d7bb114de1d4c0f50e5459c,93,20190913,1509,20190913,1600,20190913,1700,57,377,,private group,attended,TRUE,,Campus tour,,,60
5d7bb126de1d4c0f50e5459d,94,20190913,1509,20190913,1500,20190913,1600,16,59,,private group,attended,TRUE,,Focused Campus Tour,,,60
